Data,Bairros,Habitantes,Casos Suspeitos,Casos Negativos,Casos Confirmados
22/03/2024,Tomba,55007,100,20,500
22/03/2024,Campo Limpo,47060,30,40,120
22/03/2024,Muchila,22496,30,10,66
22/03/2024,Conceição,21694,30,20,55
22/03/2024,Brasília,21168,400,200,89
22/03/2024,Mangabeira,20819,55,100,26
22/03/2024,Calumbi,19858,66,3,42
22/03/2024,Queimadinha,19203,99,5,98
22/03/2024,Gabriela,17618,20,8,2
22/03/2024,Parque Ipê,16469,50,10,4
22/03/2024,Jardim Cruzeiro,14694,57,5,5
22/03/2024,Rua Nova,13078,9,8,9
22/03/2024,Lagoa Grande,12229,8,9,87
22/03/2024,Aviário,11912,55,7,46
22/03/2024,Santa Mônica,11617,20,4,26
22/03/2024,Centro,11382,15,6,98
22/03/2024,Pedra de Descanso,11156,5,2,42
22/03/2024,Caseb,10982,9,99,2
22/03/2024,São João,10239,7,88,15
22/03/2024,Cidade Nova,9974,10,200,9
22/03/2024,Jardim Acácia,9009,2,30,8
22/03/2024,Serraria Brasil,8368,5,10,44
22/03/2024,Baraúna,8093,99,9,21
22/03/2024,Cis,7887,55,5,25
22/03/2024,Ponto Central,7221,20,10,85
23/03/2024,Tomba,55007,90,25,505
23/03/2024,Campo Limpo,47060,50,40,130
23/03/2024,Muchila,22496,43,12,70
23/03/2024,Conceição,21694,20,30,55
23/03/2024,Brasília,21168,350,210,1096
23/03/2024,Mangabeira,20819,50,100,36
23/03/2024,Calumbi,19858,70,5,44
23/03/2024,Queimadinha,19203,111,21,108
23/03/2024,Gabriela,17618,39,24,14
23/03/2024,Parque Ipê,16469,52,23,20
23/03/2024,Jardim Cruzeiro,14694,64,6,13
23/03/2024,Rua Nova,13078,10,10,10
23/03/2024,Lagoa Grande,12229,27,21,89
23/03/2024,Aviário,11912,60,25,62
23/03/2024,Santa Mônica,11617,29,5,41
23/03/2024,Centro,11382,34,14,112
23/03/2024,Pedra de Descanso,11156,14,21,45
23/03/2024,Caseb,10982,29,116,22
23/03/2024,São João,10239,11,95,21
23/03/2024,Cidade Nova,9974,14,218,19
23/03/2024,Jardim Acácia,9009,14,41,21
23/03/2024,Serraria Brasil,8368,16,25,55
23/03/2024,Baraúna,8093,112,18,37
23/03/2024,Cis,7887,55,13,42
23/03/2024,Ponto Central,7221,20,10,105
26/03/2024,Tomba,2356,234,457,5336
